ID	Word	Lemma	POS	Extra	Features	HeadPosition	Relation	_	Else
1	А	а	INTJ	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#3.399#3.687
2	с	с	ADP	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#3.687#3.975
3	чего	что	PRON	_	Case=Gen	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#3.975#4.263
4	началось	начаться	VERB	_	Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#4.263#4.551
5	такое	такой	DET	_	Case=Nom|Gender=Neut|Number=Sing	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#4.551#4.839
6	творчество?	творчество?	PUNCT	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#4.839#5.127
7	Ну	ну	PART	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#5.127#5.415
8	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#5.415#5.703
9	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#5.703#5.991
10	очевидно	очевидно	ADV	_	Degree=Pos	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#5.991#6.281
11	и	и	CCONJ	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#6.777#7.055
12	думаю	думать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#7.055#7.333
13	что	что	SCONJ	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#7.333#7.611
14	тебе	ты	PRON	_	Case=Dat|Number=Sing|Person=2	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#7.611#7.889
15	не	не	PART	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#7.889#8.167
16	стоит	стоить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#8.167#8.445
17	скрывать	скрывать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#8.445#8.723
18	что	что	SCONJ	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#8.723#9.001
19	у	у	ADP	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#9.001#9.279
20	тебя	ты	PRON	_	Case=Gen|Number=Sing|Person=2	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#9.279#9.557
21	довольно	довольно	ADV	_	Degree=Pos	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#9.557#9.835
22	агрессивная	агрессивный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#9.835#10.113
23	музыка	музыка	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#10.113#10.391
24	она	она	PRON	_	Case=Nom|Gender=Fem|Number=Sing|Person=3	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#10.391#10.669
25	очень	очень	ADV	_	Degree=Pos	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#10.669#10.947
26	крутая	крутой	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#10.947#11.225
27	очень	очень	ADV	_	Degree=Pos	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#11.225#11.503
28	качественная	качественный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#11.503#11.781
29	/	/	PUNCT	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#11.781#12.059
30	и	и	CCONJ	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#12.059#12.337
31	все	все	PART	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#12.337#12.615
32	же	же	PART	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#12.615#12.893
33	эээ	эээ	INTJ	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#12.893#13.171
34	ну	ну	INTJ	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#13.171#13.449
35	такая	такой	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#13.449#13.727
36	прям	прямо	PART	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#13.727#14.005
37	жесткая	жесткий	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#14.005#14.283
38	и	и	CCONJ	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#14.283#14.561
39	/	/	PUNCT	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#14.561#14.839
40	эээ	эээ	INTJ	_	_	_	_	_	@tim1995-words#Татьяна_Ильдаровна_Мингалимова#14.839#15.117
